idx,subject,small_correct,small_entropy,small_energy,small_carbon,large_correct,large_entropy,large_energy,large_carbon
113,moral_scenarios,0,1.802734375,1.3379653940079894,0.21184452071793164,0,0.921875,3.700446158677869,0.585903975123996
114,college_computer_science,0,1.93359375,1.3238028152283028,0.20960211241114793,0,0.06640625,4.470089613768399,0.7077641888466631
115,conceptual_physics,0,1.662109375,1.3421361477782618,0.21250489006489146,1,0.0038909912109375,3.306293442118793,0.5234964616688088
116,high_school_us_history,1,0.8740234375,1.2878681803843968,0.20391246189419618,1,0.0274658203125,6.592156650241121,1.0437581362881776
117,prehistory,1,0.0110015869140625,1.3470765783832985,0.21328712491068894,1,0.00010013580322265625,3.3060579629769493,0.5234591774713503
118,public_relations,0,0.95751953125,1.4029356624497722,0.2221314798878806,1,0.1806640625,2.2549676227254403,0.3570365402648613
119,professional_law,1,0.30615234375,1.51869493035303,0.24046003063922972,1,0.07421875,4.763563000021013,0.7542308083366603
120,world_religions,1,1.69921875,1.5191797306001629,0.24053679067835912,1,0.0130615234375,2.083623146990222,0.32990699827345177
121,high_school_macroeconomics,1,0.5654296875,1.4210754951951095,0.22500362007255897,1,0.000499725341796875,3.3597721455979905,0.5319639230530151
122,global_facts,1,1.7734375,1.3677685215676794,0.21656334924821588,0,0.447265625,3.6783348100174558,0.5824030115860971
123,professional_psychology,0,1.345703125,1.420931928353972,0.22498088865604557,0,0.125,2.105467468414611,0.3333656824989801
124,moral_scenarios,0,1.8017578125,1.3877141104582529,0.21972140082255667,0,0.076171875,4.488818534404572,0.7107296012807239
125,human_sexuality,1,0.265380859375,1.4392153543600739,0.22787576444034502,1,0.00994873046875,3.446993391359198,0.545773953631873
126,elementary_mathematics,0,1.974609375,1.3185380988741726,0.20876853232174397,0,1.2421875,4.271457158728353,0.6763140501319892
127,moral_scenarios,0,1.8349609375,1.2595404390295892,0.19942723617968497,1,0.06787109375,4.877968034922802,0.7723449388627769
128,professional_law,1,1.1533203125,1.2485343409119296,0.19768460397772217,0,0.7421875,4.827576008472737,0.7643662013415167
129,philosophy,0,1.5087890625,1.2826013955481022,0.20307855429511615,1,0.0147705078125,2.1485285435956762,0.3401836860693154
130,high_school_physics,1,1.0888671875,1.3589043395419067,0.21515985376080188,1,0.013916015625,4.5060391511350035,0.7134561989297089
131,high_school_psychology,1,0.66796875,1.3024969800486137,0.20622868850769716,1,0.154296875,2.089504061265795,0.33083814303375086
132,high_school_macroeconomics,0,1.43359375,1.3780165094500347,0.21818594732958885,1,0.056396484375,2.6561659961313087,0.4205596160541239
133,marketing,1,1.2958984375,1.4240288360968105,0.225471232381995,1,5.888938903808594e-05,2.138790361751957,0.3386418072773932
134,business_ethics,1,0.206787109375,1.3929436161523165,0.22054940589078345,1,0.033935546875,2.577288257947801,0.40807064084173517
135,high_school_statistics,1,1.7763671875,1.3740794477913956,0.21756257923363762,0,0.10986328125,4.550880306680619,0.7205560485577647
136,high_school_biology,1,0.4990234375,1.4394241420863665,0.227908822497008,1,0.00160980224609375,3.571862105255424,0.5655448333321088
137,elementary_mathematics,0,1.755859375,1.5110748707539974,0.23925352120271626,0,1.0390625,2.7892942571982213,0.4416382573897184
138,logical_fallacies,1,0.39794921875,1.3716899332485817,0.21718423943102544,1,0.004150390625,2.1610103226440405,0.34215996775197305
139,college_physics,1,1.9560546875,1.351894323713285,0.21404993458793678,1,1.7578125,3.5430410474330234,0.5609814991768954
140,professional_law,0,1.53125,1.2407163482319652,0.19644675513672782,1,0.03515625,10.720098986189457,1.6973490061466638
141,logical_fallacies,1,1.3134765625,2.018984663455193,0.3196725717137389,1,0.026611328125,3.441312139386604,0.5448744220695456
142,medical_genetics,0,1.501953125,1.5939894062944207,0.2523816559966166,1,0.35546875,2.205856099582736,0.3492605491005999
143,high_school_microeconomics,0,0.77880859375,1.265488047496641,0.20036894085363482,1,0.000637054443359375,3.527837985898264,0.5585743477672251
144,professional_medicine,0,0.7451171875,1.258966008994628,0.19933628475748275,1,0.27734375,4.9350360060868095,0.7813807009637448
145,college_chemistry,0,0.62646484375,1.2701036338817715,0.2010997420312805,0,0.84765625,2.224507589512994,0.3522137016728907
146,us_foreign_policy,1,0.90283203125,1.2988480153566329,0.2056509357648002,1,0.12353515625,2.109443022335468,0.33399514520311574
147,jurisprudence,0,0.85546875,1.2494915884716302,0.19783616817467478,1,0.1220703125,2.4871998239540787,0.39380663879272915
148,professional_psychology,0,0.31689453125,1.2488638043718896,0.19773676902554918,0,1.46875,3.654305713264054,0.5785984046001419
149,college_medicine,0,1.96484375,1.2884793230953557,0.20400922615676464,0,1.8671875,3.321435126978424,0.525893895104917
150,professional_medicine,0,0.60498046875,1.3943443761722525,0.22077119289393998,1,0.00201416015625,4.744670969500559,0.7512395701709218
151,us_foreign_policy,0,0.697265625,1.4192365086114525,0.22471244719681327,1,0.02783203125,2.317626500195187,0.36695752919757124
152,moral_disputes,0,1.3603515625,1.4135400932446958,0.22381051476374347,1,0.002288818359375,3.139285558920423,0.49705354682906694
153,professional_law,0,1.92578125,1.3870584374430408,0.21961758592848146,1,0.6015625,4.951747013568383,0.7840266104816606
154,nutrition,1,1.990234375,1.4256018099766663,0.22572028657963883,1,0.0634765625,3.3879235506469607,0.5364212288524354
155,professional_accounting,1,1.6748046875,1.4998645670931223,0.23747855645641103,0,0.6640625,4.425991208831867,0.7007819413983789
156,international_law,0,0.07421875,1.5318637385644733,0.24254509193937496,0,0.310546875,4.828322966503222,0.7644844696963434
157,college_biology,0,1.119140625,1.3686204329465868,0.21669823521654288,1,7.867813110351562e-05,3.5185025991452705,0.5570962448646677
158,human_sexuality,1,1.3359375,1.2503038299731541,0.19796477307908272,1,0.0103759765625,2.1413047642461525,0.33903992100564073
159,professional_accounting,0,1.9677734375,1.2198069381673975,0.19313609854317126,1,0.306640625,4.107154627215616,0.6502994826424725
160,electrical_engineering,0,1.771484375,1.27854842586578,0.20243683409541519,0,1.7421875,2.1169331672695897,0.335181084817685
161,professional_law,0,1.408203125,1.2694700761697877,0.20099942872688303,1,0.87109375,4.976178680661587,0.7878949577714179
162,moral_scenarios,0,1.7763671875,1.34954299824411,0.21367764138865075,0,0.91796875,3.690759068838318,0.5843701858994004
163,anatomy,0,1.9599609375,1.3010705994784668,0.2060028449174239,1,0.94140625,3.4306366636083427,0.5431841384046543
164,high_school_psychology,0,1.267578125,1.3455176883188842,0.21304030065048998,1,0.01031494140625,3.34854137695922,0.5301857180185432
165,high_school_psychology,0,1.7001953125,1.4129227960229178,0.223712776036962,1,0.000507354736328125,2.1327693459720307,0.33768847977890487
166,management,1,1.0654296875,1.4153021557553498,0.22408950799459706,1,0.609375,2.3819512696314167,0.3771422843583076
167,philosophy,0,1.169921875,1.3786083825197961,0.21827966056563436,1,0.04296875,3.530644974756902,0.5590187876698429
168,professional_law,0,1.5146484375,1.3796909781373463,0.21845107153841314,1,0.033935546875,4.648179575934397,0.7359617661896128
169,college_biology,1,0.59814453125,1.5159809580188235,0.2400303183529804,1,0.006622314453125,2.1207825070084714,0.3357905636096746
170,astronomy,0,0.71630859375,1.412920478336916,0.2237124090700117,1,0.16015625,3.9197137299217197,0.620621340570939
