idx,shannon_raw,shannon_cal,semantic_entropy,n_clusters,k,extra_energy_j,base_energy_j,overhead_x,wall_s,small_score
15,1.9994894815981388,9.515129764874777,1.584962500721156,3,3,1666.8582856592923,519.6623444253636,4.207579505308363,21.576180539000006,3
16,1.5575178368079166,8.804937660694122,1.584962500721156,3,3,1651.7749263061187,514.6248635706668,4.209667941120187,21.427668383000082,2
17,1.3903589998899648,7.583305326799552,1.584962500721156,3,3,1667.5106141559122,512.469275921758,4.253874315014549,21.49573604300008,3
18,1.7070177365622172,9.59807179947694,1.584962500721156,3,3,1651.5904505144251,545.3853471193659,4.028300007027783,21.453334921000078,3
19,1.1734670937849352,7.788698237675887,1.584962500721156,3,3,384.49319586811544,243.28282691035517,2.580437060647086,5.104508857000155,5
20,2.636280435261627,12.586457595825195,0.9182958340544896,2,3,1636.203935164203,538.6982970817152,4.037328953939513,21.38985436200005,2
21,1.220223890055592,8.411098121404647,1.584962500721156,3,3,1671.3442208322103,534.6163428785512,4.126249773497645,21.408181487000093,2
22,0.844775070472119,8.855793897922222,1.584962500721156,3,3,1665.9931513427216,45.1927440701917,37.86417334506537,21.38094312399994,1
23,0.9050639528254776,7.3502882855094,1.584962500721156,3,3,624.1368433515629,168.52491547020247,4.703528594630382,8.246968250000009,4
24,1.720747221261263,8.68477077682813,1.584962500721156,3,3,1655.426473553448,538.7284047008102,4.072840524295002,21.407341953000014,3
25,1.7705720204436644,9.171611698107286,1.584962500721156,3,3,1662.8527945292064,398.59583667040147,5.171776625715782,21.48475317400016,5
26,1.310565841831267,7.980027888715267,1.584962500721156,3,3,1668.0096816500895,542.5378668725383,4.074457624986322,21.54412721099993,3
27,1.630074383324633,9.192378848393759,0.9182958340544896,2,3,1655.701710221038,542.8889935878541,4.049797895659679,21.447011461000102,3
28,2.151081453661124,10.266335492531459,0.9182958340544896,2,3,1674.2942422655346,532.304776344046,4.145367685341571,21.492130078999935,5
29,1.765596265848726,10.117445780436197,1.584962500721156,3,3,1675.2133742389854,518.5494584345428,4.230575882378344,21.609293132999937,2
30,1.0431179465850193,9.14275720179081,-0.0,1,3,1653.3010129990175,555.8144061775184,3.9745558852445053,21.567102922999993,3
31,1.245866281989341,6.616961605946223,1.584962500721156,3,3,1667.475150859174,545.1451969406851,4.05877252558937,21.514149392000036,4
32,1.3584471126956243,8.236127389669418,1.584962500721156,3,3,1668.7494354076914,557.2528482606374,3.9946001005044423,21.370843110999886,3
33,1.2908242549281568,8.71167444507281,1.584962500721156,3,3,1654.1265579833334,541.018197683427,4.057432384097427,21.40715301199998,2
34,0.858380178483203,7.100888670682907,1.584962500721156,3,3,1652.1189833239619,531.4702275280855,4.1085823772445575,21.393992669,3
35,1.3477563978110751,9.000176173051198,1.584962500721156,3,3,1482.6126153567293,550.4600976805827,3.6934061553305355,18.99022793999984,3
36,1.5538930483255535,9.61086345632871,1.584962500721156,3,3,1644.0602142956545,570.6859922738385,3.8808490773447395,21.36176244499984,2
37,2.7611763714253903,11.599297478993734,1.584962500721156,3,3,1653.5184727492754,552.013197195325,3.995432864921511,21.326322047999838,1
38,1.4375250018884738,10.550259906848272,0.9182958340544896,2,3,1542.6713021860542,567.8402549268618,3.7167346604984024,19.83948491199999,2
39,2.2392750151331224,11.532151200771331,1.584962500721156,3,3,1654.9468530008423,563.4558811108566,3.9371365327452166,21.389129175000107,2
40,0.7934331737102612,5.378728885861004,1.584962500721156,3,3,669.9037258041373,116.87422200357918,6.731834739260313,8.799545034999937,5
41,1.2218868418524114,8.541262917704396,0.9182958340544896,2,3,1660.3410762271485,289.01767187773606,6.7447735477210795,21.463123989999985,3
42,1.4086842124878118,6.775793801943461,0.9182958340544896,2,3,1672.320154772143,534.5215216863143,4.128630161600022,21.621653746999982,3
43,1.715716768860196,8.754757231672604,1.584962500721156,3,3,1666.6576001896549,535.2902508828531,4.113558667360072,21.492432479999934,2
44,2.0063621381825456,9.765697625378767,1.584962500721156,3,3,1488.157774935425,564.903856473937,3.634355842823113,19.280454757999905,3
45,2.99372534857442,13.470364662806192,-0.0,1,3,1682.4179324665747,553.4645911514277,4.039793257535179,21.645098363999978,3
46,1.2833030216395855,7.872979578177135,1.584962500721156,3,3,1578.8670824945152,541.6741683478122,3.914791169219492,20.31716452899991,3
47,1.9756403774674982,9.90889753818512,0.9182958340544896,2,3,1655.3677648650596,560.1085858625937,3.9554407960301394,21.581745766999802,3
48,2.884656534724827,12.663326740264893,0.9182958340544896,2,3,1201.0981234735325,243.2648778554992,5.937408696486766,15.500677186999837,1
49,1.1973247763307882,7.366076467325911,1.584962500721156,3,3,1672.1465128939485,232.4280231395007,8.194255194823667,21.61167171099987,3
50,1.911900572249045,9.995223716100057,0.9182958340544896,2,3,1684.9573886798412,546.6928213260503,4.082091666381923,21.81352075199993,2
51,1.8262077015730858,8.31832631442371,1.584962500721156,3,3,1581.6103764313057,549.8987620422351,3.876184646347375,20.509038016999966,4
